id,grant_title,group,count,mean,std,min,q1,total_amount,q3,max,box,min_nc,q1_nc,total_amount_nc,q3_nc,max_nc
35,"Chemistry, Medicinal",science,223816,0.810954974,0.63172344,0.5,0.556,0.65,0.845,40.49,0.2883,0,6,14,29,4246
36,"Chemistry, Multidisciplinary",science,911557,0.951936406,2.672692901,0.5,0.536,0.632,0.884,1570.093,0.348,0,3,11,34,19549
37,"Chemistry, Organic",science,450100,0.798958192,0.590316455,0.5,0.561,0.654,0.842,71.464,0.2811,0,6,14,29,6162
38,"Chemistry, Physical",science,978680,0.968158758,1.737048058,0.5,0.571,0.686,0.946,902.725,0.3747,0,6,16,36,27092
39,Classics,arts,65998,0.54647271,0.183129966,0.5,0.5,0.5,0.5,10.015,0,0,0,0,0,109
40,Clinical Neurology,medicine,550567,0.902603373,1.085386663,0.5,0.536,0.649,0.912,130.904,0.3763,0,3,12,31,9017
41,Communication,social science,65165,0.799368844,1.089833561,0.5,0.5,0.56,0.773,117.052,0.2733,0,0,3,12,3780
42,"Computer Science, Artificial Intelligence",computer science,678583,0.857652913,3.409124645,0.5,0.5,0.535,0.688,768.864,0.1875,0,0,1,7,33120
43,"Computer Science, Cybernetics",computer science,84135,0.801774394,2.135955511,0.5,0.5,0.537,0.702,273.49,0.2017,0,0,1,7,7740
44,"Computer Science, Hardware & Architecture",computer science,268708,0.914665267,3.128278402,0.5,0.5,0.544,0.733,470.715,0.2325,0,0,2,7,7904
45,"Computer Science, Information Systems",computer science,565757,0.817100649,2.75962568,0.5,0.5,0.53,0.677,611.019,0.1769,0,0,1,6,18940
46,"Computer Science, Interdisciplinary Applications",computer science,433416,0.807909337,1.903386198,0.5,0.5,0.546,0.73,285.349,0.2296,0,0,2,10,27665
47,"Computer Science, Software Engineering",computer science,325187,0.920840419,2.211852943,0.5,0.5,0.568,0.785,297.503,0.2854,0,0,2,9,6039
48,"Computer Science, Theory & Methods",computer science,694873,0.782414826,2.07494517,0.5,0.5,0.536,0.673,444.635,0.1729,0,0,1,6,17781
49,Construction & Building Technology,building,128987,0.894315278,1.045163233,0.5,0.5,0.569,0.874,68.41,0.3742,0,0,3,16,2593
50,Criminology & Penology,social science,37168,0.747153207,0.626283067,0.5,0.5,0.576,0.76,37.487,0.2596,0,0,4,16,1589
51,Critical Care Medicine,medicine,135632,0.971179581,1.435664558,0.5,0.524,0.661,0.988,141.099,0.464125,0,2,11,32,6413
52,Crystallography,science,196077,0.767016203,4.75047361,0.5,0.512,0.57,0.712,1570.093,0.2,0,1,4,12,26895
53,Cultural Studies,arts,21530,0.800802555,1.403419153,0.5,0.5,0.525,0.703,81.067,0.2027,0,0,1,4,1228
54,Dance,arts,25510,0.506374622,0.058554859,0.5,0.5,0.5,0.5,4.948,0,0,0,0,0,71
55,Demography,social science,24575,0.836600496,0.999771699,0.5,0.5,0.563,0.811,56.855,0.3108,0,0,3,15,2775
56,"Dentistry, Oral Surgery & Medicine",medicine,160941,0.843160662,0.633383914,0.5,0.554,0.663,0.891,31.455,0.3372,0,4,11,25,2298
57,Dermatology,medicine,179360,0.819816047,0.639606513,0.5,0.537,0.64,0.863,64.722,0.325625,0,2,8,20,2430
58,Developmental Biology,biology,98673,1.064794418,1.441474838,0.5,0.579,0.705,1.019,88.573,0.4397,0,10,24,57,7123
59,Ecology,biology,316124,0.964016341,1.165215469,0.5,0.572,0.698,0.982,102.02,0.4095,0,7,20,44,12386
60,Economics,management,412129,0.911190548,1.681310036,0.5,0.5,0.57,0.809,196.588,0.3093,0,0,4,15,8141
61,Education & Educational Research,education,277073,0.730279333,0.858782837,0.5,0.5,0.516,0.683,79.157,0.183,0,0,1,6,2887
62,"Education, Scientific Disciplines",education,99015,0.77392382,1.022513279,0.5,0.5,0.565,0.765,105.9,0.2646,0,0,2,9,6063
